iter	Passed	Remaining
0	42	42833
1	83	41478
2	118	39499
3	157	39142
4	194	38721
5	230	38124
6	264	37541
7	301	37336
8	342	37677
9	380	37702
10	421	37897
11	456	37623
12	498	37845
13	540	38064
14	585	38427
15	650	39995
16	689	39857
17	731	39931
18	770	39781
19	974	47735
20	1014	47284
21	1049	46655
22	1083	46025
23	1125	45754
24	1160	45259
25	1192	44690
26	1233	44459
27	1268	44025
28	1303	43639
29	1338	43283
30	1370	42828
31	1415	42816
32	1453	42585
33	1487	42255
34	1517	41851
35	1557	41694
36	1588	41331
37	1621	41060
38	1661	40935
39	1695	40684
40	1733	40535
41	1771	40410
42	1807	40236
43	1845	40098
44	1876	39816
45	1914	39694
46	1949	39528
47	1986	39400
48	2019	39192
49	2051	38983
50	2089	38873
51	2124	38736
52	2160	38607
53	2194	38448
54	2227	38278
55	2262	38143
56	2297	38009
57	2336	37946
58	2368	37772
59	2404	37666
60	2439	37551
61	2479	37505
62	2516	37428
63	2548	37270
64	2588	37238
65	2632	37260
66	2665	37122
67	2700	37009
68	2741	36993
69	2783	36981
70	2819	36896
71	2861	36885
72	2900	36838
73	2935	36738
74	2974	36683
75	3019	36709
76	3061	36694
77	3106	36717
78	3148	36702
79	3188	36670
80	3228	36633
81	3267	36582
82	3310	36570
83	3353	36564
84	3387	36467
85	3429	36445
86	3471	36428
87	3510	36386
88	3553	36370
89	3594	36343
90	3633	36293
91	3673	36260
92	3717	36254
93	3753	36177
94	3799	36192
95	3843	36191
96	3885	36171
97	3927	36147
98	3965	36086
99	3997	35980
100	4032	35895
101	4070	35832
102	4106	35760
103	4159	35835
104	4203	35830
105	4242	35782
106	4284	35759
107	4329	35759
108	4370	35729
109	4414	35717
110	4447	35621
111	4484	35557
112	4518	35471
113	4555	35402
114	4591	35338
115	4627	35262
116	4665	35211
117	4703	35154
118	4744	35122
119	4778	35043
120	4814	34978
121	4850	34907
122	4888	34857
123	4929	34826
124	4965	34759
125	5005	34719
126	5040	34646
127	5075	34575
128	5114	34530
129	5150	34467
130	5192	34441
131	5228	34381
132	5258	34279
133	5297	34233
134	5331	34164
135	5368	34105
136	5404	34044
137	5440	33986
138	5473	33905
139	5506	33828
140	5543	33773
141	5574	33682
142	5616	33659
143	5649	33585
144	5689	33545
145	5724	33484
146	5760	33427
147	5792	33348
148	5827	33283
149	5860	33211
150	5892	33129
151	5926	33064
152	5965	33023
153	6006	32994
154	6046	32962
155	6087	32933
156	6129	32909
157	6162	32841
158	6200	32798
159	6234	32733
160	6267	32661
161	6303	32606
162	6343	32571
163	6379	32517
164	6415	32468
165	6456	32436
166	6494	32393
167	6524	32311
168	6562	32269
169	6600	32227
170	6639	32190
171	6676	32139
172	6709	32074
173	6747	32029
174	6780	31963
175	6815	31909
176	6855	31877
177	6899	31859
178	6934	31805
179	6971	31757
180	7009	31716
181	7040	31642
182	7081	31613
183	7119	31573
184	7151	31504
185	7186	31449
186	7219	31388
187	7259	31354
188	7290	31285
189	7327	31237
190	7362	31186
191	7399	31141
192	7434	31085
193	7475	31058
194	7514	31022
195	7546	30957
196	7579	30895
197	7620	30865
198	7665	30854
199	7707	30828
200	7750	30808
201	7782	30745
202	7821	30708
203	7856	30657
204	7885	30582
205	7914	30506
206	7949	30453
207	7989	30420
208	8025	30373
209	8060	30321
210	8090	30252
211	8127	30208
212	8165	30170
213	8195	30102
214	8231	30053
215	8267	30008
216	8305	29968
217	8342	29925
218	8376	29873
219	8418	29847
220	8453	29797
221	8490	29754
222	8522	29694
223	8557	29646
224	8596	29608
225	8634	29571
226	8679	29555
227	8722	29533
228	8759	29491
229	8793	29440
230	8834	29410
231	8875	29381
232	8911	29336
233	8941	29270
234	8973	29211
235	9000	29135
236	9027	29064
237	9060	29007
238	9088	28938
239	9119	28879
240	9154	28829
241	9182	28761
242	9219	28720
243	9251	28665
244	9284	28611
245	9313	28545
246	9338	28469
247	9369	28411
248	9397	28343
249	9422	28267
250	9454	28211
251	9482	28147
252	9513	28088
253	9541	28024
254	9576	27978
255	9609	27928
256	9642	27878
257	9674	27823
258	9708	27776
259	9736	27711
260	9766	27653
261	9796	27593
262	9828	27543
263	9855	27476
264	9881	27408
265	9909	27345
266	9942	27294
267	9974	27243
268	10002	27180
269	10030	27118
270	10067	27081
271	10103	27042
272	10137	26996
273	10161	26925
274	10188	26860
275	10216	26801
276	10247	26746
277	10283	26706
278	10309	26642
279	10337	26582
280	10368	26530
281	10396	26470
282	10424	26411
283	10458	26368
284	10486	26308
285	10514	26249
286	10545	26197
287	10579	26154
288	10608	26100
289	10636	26042
290	10671	26001
291	10697	25938
292	10733	25900
293	10765	25852
294	10795	25799
295	10827	25751
296	10854	25691
297	10884	25641
298	10914	25588
299	10940	25526
300	10969	25474
301	11013	25456
302	11063	25449
303	11093	25397
304	11121	25342
305	11156	25302
306	11184	25247
307	11213	25193
308	11242	25141
309	11274	25094
310	11304	25043
311	11332	24988
312	11369	24954
313	11398	24903
314	11432	24861
315	11460	24807
316	11488	24752
317	11516	24699
318	11544	24645
319	11577	24602
320	11607	24553
321	11636	24501
322	11665	24449
323	11690	24391
324	11719	24341
325	11749	24292
326	11780	24244
327	11807	24190
328	11832	24132
329	11861	24081
330	11895	24041
331	11925	23994
332	11959	23954
333	11990	23909
334	12017	23856
335	12050	23813
336	12084	23774
337	12109	23718
338	12146	23683
339	12180	23643
340	12214	23605
341	12250	23569
342	12285	23531
343	12313	23481
344	12344	23437
345	12372	23386
346	12397	23330
347	12427	23283
348	12455	23233
349	12482	23181
350	12511	23134
351	12543	23091
352	12567	23034
353	12595	22985
354	12625	22939
355	12661	22904
356	12687	22852
357	12721	22813
358	12748	22761
359	12777	22716
360	12809	22673
361	12836	22623
362	12862	22571
363	12889	22521
364	12920	22477
365	12948	22430
366	12977	22384
367	13011	22346
368	13041	22301
369	13071	22256
370	13104	22217
371	13132	22170
372	13159	22119
373	13193	22084
374	13223	22038
375	13257	22001
376	13293	21967
377	13325	21926
378	13353	21880
379	13379	21830
380	13406	21781
381	13433	21732
382	13467	21694
383	13496	21651
384	13528	21610
385	13556	21563
386	13582	21513
387	13609	21466
388	13639	21422
389	13665	21374
390	13691	21325
391	13717	21276
392	13746	21232
393	13780	21195
394	13815	21159
395	13846	21119
396	13878	21080
397	13910	21040
398	13939	20996
399	13969	20954
400	13996	20907
401	14030	20870
402	14059	20826
403	14094	20793
404	14130	20759
405	14163	20721
406	14193	20679
407	14220	20633
408	14245	20583
409	14279	20548
410	14310	20508
411	14343	20471
412	14379	20437
413	14411	20398
414	14443	20359
415	14478	20325
416	14510	20286
417	14537	20240
418	14563	20194
419	14596	20156
420	14629	20119
421	14664	20085
422	14692	20041
423	14721	19998
424	14746	19951
425	14777	19911
426	14815	19881
427	14842	19836
428	14872	19795
429	14907	19760
430	14936	19718
431	14969	19682
432	15009	19654
433	15038	19612
434	15069	19572
435	15096	19528
436	15132	19496
437	15159	19451
438	15194	19416
439	15222	19373
440	15252	19334
441	15281	19292
442	15313	19254
443	15344	19214
444	15371	19171
445	15400	19129
446	15434	19094
447	15464	19054
448	15497	19017
449	15529	18980
450	15558	18939
451	15588	18899
452	15620	18861
453	15650	18821
454	15685	18788
455	15715	18748
456	15743	18705
457	15774	18667
458	15800	18623
459	15836	18590
460	15862	18546
461	15896	18511
462	15925	18470
463	15952	18427
464	15987	18393
465	16014	18351
466	16042	18309
467	16075	18273
468	16103	18232
469	16135	18195
470	16165	18156
471	16196	18118
472	16226	18079
473	16258	18041
474	16285	18000
475	16316	17961
476	16344	17920
477	16373	17880
478	16401	17840
479	16440	17810
480	16470	17771
481	16496	17728
482	16528	17692
483	16558	17653
484	16586	17612
485	16614	17572
486	16650	17539
487	16677	17497
488	16704	17455
489	16739	17422
490	16767	17381
491	16793	17339
492	16820	17298
493	16851	17260
494	16885	17227
495	16914	17187
496	16945	17149
497	16972	17108
498	17004	17072
499	17034	17034
500	17068	17000
501	17096	16960
502	17126	16921
503	17161	16888
504	17190	16849
505	17217	16809
506	17243	16767
507	17270	16726
508	17295	16683
509	17328	16649
510	17355	16607
511	17387	16572
512	17415	16532
513	17448	16498
514	17485	16466
515	17515	16428
516	17549	16395
517	17574	16353
518	17603	16314
519	17633	16276
520	17659	16236
521	17687	16196
522	17715	16157
523	17745	16119
524	17772	16079
525	17801	16041
526	17834	16006
527	17862	15968
528	17889	15927
529	17917	15888
530	17948	15852
531	17980	15817
532	18014	15783
533	18044	15746
534	18074	15709
535	18108	15675
536	18137	15638
537	18170	15603
538	18203	15568
539	18230	15529
540	18261	15493
541	18287	15453
542	18319	15418
543	18348	15380
544	18381	15345
545	18411	15308
546	18443	15273
547	18469	15234
548	18498	15196
549	18526	15158
550	18559	15123
551	18585	15083
552	18617	15049
553	18649	15013
554	18676	14974
555	18704	14936
556	18733	14899
557	18767	14866
558	18797	14829
559	18825	14791
560	18852	14752
561	18878	14713
562	18904	14673
563	18935	14638
564	18962	14599
565	18993	14563
566	19022	14526
567	19054	14491
568	19080	14452
569	19107	14414
570	19142	14381
571	19172	14346
572	19203	14310
573	19237	14276
574	19266	14240
575	19292	14201
576	19324	14166
577	19353	14130
578	19384	14095
579	19413	14058
580	19447	14024
581	19472	13985
582	19501	13948
583	19533	13914
584	19565	13880
585	19592	13841
586	19620	13804
587	19653	13770
588	19681	13733
589	19711	13698
590	19737	13659
591	19772	13626
592	19798	13588
593	19830	13554
594	19858	13516
595	19886	13479
596	19914	13443
597	19946	13409
598	19980	13376
599	20010	13340
600	20035	13301
601	20066	13266
602	20097	13231
603	20123	13193
604	20154	13158
605	20188	13125
606	20222	13092
607	20251	13056
608	20286	13024
609	20316	12989
610	20348	12955
611	20377	12919
612	20404	12881
613	20435	12846
614	20462	12809
615	20493	12775
616	20522	12739
617	20553	12704
618	20588	12672
619	20620	12638
620	20649	12602
621	20674	12564
622	20701	12527
623	20736	12494
624	20764	12458
625	20796	12424
626	20828	12390
627	20859	12356
628	20892	12322
629	20919	12285
630	20953	12253
631	20985	12219
632	21017	12185
633	21047	12150
634	21078	12116
635	21113	12083
636	21148	12051
637	21181	12018
638	21208	11981
639	21235	11944
640	21260	11907
641	21291	11873
642	21324	11839
643	21355	11805
644	21380	11767
645	21408	11731
646	21438	11696
647	21467	11661
648	21497	11626
649	21532	11594
650	21567	11562
651	21601	11529
652	21630	11494
653	21660	11459
654	21686	11422
655	21720	11389
656	21746	11353
657	21772	11316
658	21800	11280
659	21832	11247
660	21865	11214
661	21894	11178
662	21922	11143
663	21952	11108
664	21985	11075
665	22017	11041
666	22051	11009
667	22086	10976
